Date-Monthly,"Dominican Republic, Wholesale, Santo Domingo, Maize, USD/kg" Commodity Code: 1005 ,"Dominican Republic, Retail, Santo Domingo, Maize, USD/kg" Commodity Code: 1005 
Jan-06,0.23,0.46
Feb-06,0.27,0.48
Mar-06,0.27,0.46
Apr-06,0.37,0.50
May-06,0.43,0.52
Jun-06,0.44,0.54
Jul-06,0.34,0.59
Aug-06,0.37,0.63
Sep-06,0.31,0.61
Oct-06,0.30,0.61
Nov-06,0.30,0.65
Dec-06,0.26,0.63
Jan-07,0.36,0.59
Feb-07,0.28,0.70
Mar-07,0.32,0.59
Apr-07,0.32,0.54
May-07,0.26,0.48
Jun-07,0.27,0.43
Jul-07,0.27,0.48
Aug-07,0.28,0.50
Sep-07,0.29,0.52
Oct-07,0.30,0.52
Nov-07,0.29,0.54
Dec-07,0.31,0.57
Jan-08,0.38,0.61
Feb-08,0.36,0.57
Mar-08,0.32,0.57
Apr-08,0.44,0.74
May-08,0.66,0.93
Jun-08,0.78,0.98
Jul-08,0.94,1.02
Aug-08,0.61,0.83
Sep-08,0.42,0.67
Oct-08,0.41,0.67
Nov-08,0.41,0.70
Dec-08,0.40,0.70
Jan-09,0.52,0.85
Feb-09,0.51,0.80
Mar-09,0.49,0.70
Apr-09,0.46,0.67
May-09,0.47,0.67
Jun-09,0.47,0.72
Jul-09,0.43,0.61
Aug-09,0.43,0.61
Sep-09,0.39,0.63
Oct-09,0.38,0.65
Nov-09,0.36,0.57
Dec-09,0.41,0.63
Jan-10,0.45,0.70
Feb-10,0.45,0.72
Mar-10,0.47,0.70
Apr-10,0.48,0.67
May-10,0.47,0.70
Jun-10,0.46,0.72
Jul-10,0.47,0.85
Aug-10,0.44,0.70
Sep-10,0.38,0.70
Oct-10,0.35,0.63
Nov-10,0.37,0.67
Dec-10,0.45,0.67
Jan-11,0.36,0.61
Feb-11,0.37,0.61
Mar-11,0.41,0.63
Apr-11,0.47,0.74
May-11,0.51,0.80
Jun-11,0.54,0.76
Jul-11,0.46,0.76
Aug-11,0.42,0.65
Sep-11,0.41,0.63
Oct-11,0.43,0.65
Nov-11,0.44,0.65
Dec-11,0.46,0.67
Jan-12,0.51,0.67
Feb-12,0.44,0.65
Mar-12,0.50,0.63
Apr-12,0.53,0.67
May-12,0.55,0.65
Jun-12,0.43,0.65
Jul-12,0.41,0.63
Aug-12,0.45,0.63
Sep-12,0.45,0.63
Oct-12,0.44,0.61
Nov-12,0.43,0.59
Dec-12,0.45,0.61
Jan-13,0.46,0.61
Feb-13,0.46,0.59
Mar-13,0.48,0.59
Apr-13,0.48,0.61
May-13,0.47,0.61
Jun-13,0.46,0.61
Jul-13,0.48,0.59
Aug-13,0.45,0.57
Sep-13,0.41,0.57
Oct-13,0.38,0.54
Nov-13,0.38,0.54
Dec-13,0.38,0.52
Jan-14,0.42,0.54
Feb-14,0.43,0.54
Mar-14,0.45,0.57
Apr-14,0.46,0.59
May-14,0.47,0.59
Jun-14,0.46,0.59
Jul-14,0.41,0.59
Aug-14,0.42,0.57
Sep-14,0.45,0.57
Oct-14,0.44,0.59
Nov-14,0.46,0.59
Dec-14,0.49,0.61
Jan-15,0.49,0.63
Feb-15,0.47,0.61
Mar-15,0.49,0.65
Apr-15,0.49,0.65
May-15,0.52,0.65
Jun-15,0.55,0.65
Jul-15,0.52,0.65
Aug-15,0.64,0.72
Sep-15,0.61,0.74
Oct-15,0.41,0.65
Nov-15,0.45,0.65
Dec-15,0.45,0.63
Jan-16,0.43,0.63
Feb-16,0.43,0.61
Mar-16,0.43,0.59
Apr-16,0.44,0.59
May-16,0.44,0.57
Jun-16,0.45,0.59
Jul-16,0.45,0.59
Aug-16,0.42,0.59
Sep-16,0.36,0.57
Oct-16,0.36,0.57
Nov-16,0.37,0.59
Dec-16,0.38,0.52
Jan-17,0.47,0.54
Feb-17,0.53,0.57
Mar-17,0.56,0.65
Apr-17,0.63,0.67
May-17,0.73,0.80
Jun-17,0.64,0.74
Jul-17,0.54,0.65
Aug-17,0.49,0.65
Sep-17,0.42,0.61
Oct-17,0.44,0.57
Nov-17,0.50,0.57
Dec-17,0.50,0.57
Jan-18,0.52,0.59
Feb-18,0.54,0.61
Mar-18,0.47,0.61
Apr-18,0.48,0.61
May-18,0.51,0.61
Jun-18,0.50,0.59
Jul-18,0.49,0.59
Aug-18,0.51,0.59
Sep-18,0.52,0.59
Oct-18,0.51,0.61
Nov-18,0.50,0.61
Dec-18,0.50,0.61
Jan-19,0.58,0.63
Feb-19,0.61,0.67
Mar-19,0.65,0.67
Apr-19,0.67,0.74
May-19,0.76,0.80
Jun-19,0.75,0.83
Jul-19,0.67,0.76
Aug-19,0.52,0.70
Sep-19,0.49,0.63
Oct-19,0.46,0.63
Nov-19,0.47,0.61
Dec-19,0.46,0.59
Jan-20,0.46,0.59
Feb-20,0.49,0.61
Mar-20,0.52,0.61
Apr-20,0.54,0.61