Date-Monthly,Wholesale_Prices,Retail_Prices
6-Jan,0.23,0.46
6-Feb,0.27,0.48
6-Mar,0.27,0.46
6-Apr,0.37,0.5
6-May,0.43,0.52
6-Jun,0.44,0.54
6-Jul,0.34,0.59
6-Aug,0.37,0.63
6-Sep,0.31,0.61
6-Oct,0.3,0.61
6-Nov,0.3,0.65
6-Dec,0.26,0.63
7-Jan,0.36,0.59
7-Feb,0.28,0.7
7-Mar,0.32,0.59
7-Apr,0.32,0.54
7-May,0.26,0.48
7-Jun,0.27,0.43
7-Jul,0.27,0.48
7-Aug,0.28,0.5
7-Sep,0.29,0.52
7-Oct,0.3,0.52
7-Nov,0.29,0.54
7-Dec,0.31,0.57
8-Jan,0.38,0.61
8-Feb,0.36,0.57
8-Mar,0.32,0.57
8-Apr,0.44,0.74
8-May,0.66,0.93
8-Jun,0.78,0.98
8-Jul,0.94,1.02
8-Aug,0.61,0.83
8-Sep,0.42,0.67
8-Oct,0.41,0.67
8-Nov,0.41,0.7
8-Dec,0.4,0.7
9-Jan,0.52,0.85
9-Feb,0.51,0.8
9-Mar,0.49,0.7
9-Apr,0.46,0.67
9-May,0.47,0.67
9-Jun,0.47,0.72
9-Jul,0.43,0.61
9-Aug,0.43,0.61
9-Sep,0.39,0.63
9-Oct,0.38,0.65
9-Nov,0.36,0.57
9-Dec,0.41,0.63
10-Jan,0.45,0.7
10-Feb,0.45,0.72
10-Mar,0.47,0.7
10-Apr,0.48,0.67
10-May,0.47,0.7
10-Jun,0.46,0.72
10-Jul,0.47,0.85
10-Aug,0.44,0.7
10-Sep,0.38,0.7
10-Oct,0.35,0.63
10-Nov,0.37,0.67
10-Dec,0.45,0.67
11-Jan,0.36,0.61
11-Feb,0.37,0.61
11-Mar,0.41,0.63
11-Apr,0.47,0.74
11-May,0.51,0.8
11-Jun,0.54,0.76
11-Jul,0.46,0.76
11-Aug,0.42,0.65
11-Sep,0.41,0.63
11-Oct,0.43,0.65
11-Nov,0.44,0.65
11-Dec,0.46,0.67
12-Jan,0.51,0.67
12-Feb,0.44,0.65
12-Mar,0.5,0.63
12-Apr,0.53,0.67
12-May,0.55,0.65
12-Jun,0.43,0.65
12-Jul,0.41,0.63
12-Aug,0.45,0.63
12-Sep,0.45,0.63
12-Oct,0.44,0.61
12-Nov,0.43,0.59
12-Dec,0.45,0.61
13-Jan,0.46,0.61
13-Feb,0.46,0.59
13-Mar,0.48,0.59
13-Apr,0.48,0.61
13-May,0.47,0.61
13-Jun,0.46,0.61
13-Jul,0.48,0.59
13-Aug,0.45,0.57
13-Sep,0.41,0.57
13-Oct,0.38,0.54
13-Nov,0.38,0.54
13-Dec,0.38,0.52
14-Jan,0.42,0.54
14-Feb,0.43,0.54
14-Mar,0.45,0.57
14-Apr,0.46,0.59
14-May,0.47,0.59
14-Jun,0.46,0.59
14-Jul,0.41,0.59
14-Aug,0.42,0.57
14-Sep,0.45,0.57
14-Oct,0.44,0.59
14-Nov,0.46,0.59
14-Dec,0.49,0.61
15-Jan,0.49,0.63
15-Feb,0.47,0.61
15-Mar,0.49,0.65
15-Apr,0.49,0.65
15-May,0.52,0.65
15-Jun,0.55,0.65
15-Jul,0.52,0.65
15-Aug,0.64,0.72
15-Sep,0.61,0.74
15-Oct,0.41,0.65
15-Nov,0.45,0.65
15-Dec,0.45,0.63
16-Jan,0.43,0.63
16-Feb,0.43,0.61
16-Mar,0.43,0.59
16-Apr,0.44,0.59
16-May,0.44,0.57
16-Jun,0.45,0.59
16-Jul,0.45,0.59
16-Aug,0.42,0.59
16-Sep,0.36,0.57
16-Oct,0.36,0.57
16-Nov,0.37,0.59
16-Dec,0.38,0.52
17-Jan,0.47,0.54
17-Feb,0.53,0.57
17-Mar,0.56,0.65
17-Apr,0.63,0.67
17-May,0.73,0.8
17-Jun,0.64,0.74
17-Jul,0.54,0.65
17-Aug,0.49,0.65
17-Sep,0.42,0.61
17-Oct,0.44,0.57
17-Nov,0.5,0.57
17-Dec,0.5,0.57
18-Jan,0.52,0.59
18-Feb,0.54,0.61
18-Mar,0.47,0.61
18-Apr,0.48,0.61
18-May,0.51,0.61
18-Jun,0.5,0.59
18-Jul,0.49,0.59
18-Aug,0.51,0.59
18-Sep,0.52,0.59
18-Oct,0.51,0.61
18-Nov,0.5,0.61
18-Dec,0.5,0.61
19-Jan,0.58,0.63
19-Feb,0.61,0.67
19-Mar,0.65,0.67
19-Apr,0.67,0.74
19-May,0.76,0.8
19-Jun,0.75,0.83
19-Jul,0.67,0.76
19-Aug,0.52,0.7
19-Sep,0.49,0.63
19-Oct,0.46,0.63
19-Nov,0.47,0.61
19-Dec,0.46,0.59
20-Jan,0.46,0.59
20-Feb,0.49,0.61
20-Mar,0.52,0.61
20-Apr,0.54,0.61